,title,year,runtime_minutes,genres,average_rating,domestic_gross,foreign_gross,total_gross,genre_1,genre_2,genre_3
1463,The Hunger Games: Catching Fire,2013,146.0,"Action,Adventure,Sci-Fi",7.5,424700000.0,440300000.0,865000000.0,Action,Adventure,Sci-Fi
1464,The Hunger Games: Mockingjay - Part 1,2014,123.0,"Action,Adventure,Sci-Fi",6.6,337100000.0,418200000.0,755300000.0,Action,Adventure,Sci-Fi
1465,The Hunger Games: Mockingjay - Part 2,2015,137.0,"Action,Adventure,Sci-Fi",6.6,281700000.0,371700000.0,653400000.0,Action,Adventure,Sci-Fi
1621,The Hunt,2016,93.0,Thriller,5.2,613000.0,0.0,613000.0,Thriller,,
1618,The Hunt,2012,115.0,Drama,8.3,613000.0,0.0,613000.0,Drama,,
1620,The Hunt,2016,100.0,"Action,Drama,Thriller",4.0,613000.0,0.0,613000.0,Action,Drama,Thriller
1619,The Hunt,2012,74.0,"Action,Horror,Thriller",4.4,613000.0,0.0,613000.0,Action,Horror,Thriller
1891,The Huntsman: Winter's War,2016,114.0,"Action,Adventure,Drama",6.1,48400000.0,116600000.0,165000000.0,Action,Adventure,Drama
2797,The Hurricane Heist,2018,103.0,"Action,Adventure,Crime",5.1,6100000.0,0.0,6100000.0,Action,Adventure,Crime
246,The Ides of March,2011,101.0,"Drama,Thriller",7.1,41000000.0,35000000.0,76000000.0,Drama,Thriller,
1594,The Imitation Game,2014,114.0,"Biography,Drama,Thriller",8.0,91100000.0,142400000.0,233500000.0,Biography,Drama,Thriller
1459,The Immigrant,2013,120.0,"Drama,Romance",6.6,2000000.0,3800000.0,5800000.0,Drama,Romance,
1015,The Impossible,2012,114.0,"Drama,History,Thriller",7.6,19000000.0,161300000.0,180300000.0,Drama,History,Thriller
1480,The Imposter,2012,99.0,"Biography,Crime,Documentary",7.5,898000.0,1100000.0,1998000.0,Biography,Crime,Documentary
1143,The Inbetweeners Movie,2011,97.0,Comedy,6.8,36000.0,88000000.0,88036000.0,Comedy,,
78,The Incredible Burt Wonderstone,2013,100.0,"Adventure,Comedy,Fantasy",5.9,22500000.0,4900000.0,27400000.0,Adventure,Comedy,Fantasy
487,The Infiltrator,2016,127.0,"Biography,Crime,Drama",7.0,15400000.0,0.0,15400000.0,Biography,Crime,Drama
872,The Innkeepers,2011,101.0,"Drama,Horror,Mystery",5.5,78400.0,0.0,78400.0,Drama,Horror,Mystery
2587,The Innocents,2016,115.0,"Drama,History",7.3,1100000.0,0.0,1100000.0,Drama,History,
2588,The Innocents,2015,98.0,Horror,5.2,1100000.0,0.0,1100000.0,Horror,,
2975,The Insult,2017,113.0,"Crime,Drama,Thriller",7.7,1000000.0,0.0,1000000.0,Crime,Drama,Thriller
978,The Intern,2015,121.0,"Comedy,Drama",7.1,75800000.0,118800000.0,194600000.0,Comedy,Drama,
977,The Intern,2010,65.0,Unknown,5.5,75800000.0,118800000.0,194600000.0,Unknown,,
1735,The Internship,2013,119.0,Comedy,6.3,44700000.0,48800000.0,93500000.0,Comedy,,
448,The Interrupters,2011,125.0,"Crime,Documentary",7.5,282000.0,0.0,282000.0,Crime,Documentary,
1106,The Invisible Woman,2013,111.0,"Biography,Drama,History",6.2,1200000.0,0.0,1200000.0,Biography,Drama,History
1913,The Invitation,2015,100.0,"Drama,Horror,Mystery",6.7,232000.0,0.0,232000.0,Drama,Horror,Mystery
166,The Iron Lady,2011,105.0,"Biography,Drama",6.4,30000000.0,84900000.0,114900000.0,Biography,Drama,
2486,The Iron Ministry,2014,82.0,Documentary,6.8,3200.0,0.0,3200.0,Documentary,,
1512,The Island President,2011,101.0,Documentary,7.3,76400.0,0.0,76400.0,Documentary,,
265,The Joneses,2016,80.0,"Biography,Documentary",5.9,1500000.0,5500000.0,7000000.0,Biography,Documentary,
264,The Joneses,2011,117.0,"Comedy,Drama",6.9,1500000.0,5500000.0,7000000.0,Comedy,Drama,
954,The Journey,2016,94.0,Drama,6.6,155000.0,0.0,155000.0,Drama,,
953,The Journey,2014,103.0,"Comedy,Drama,Family",7.5,155000.0,0.0,155000.0,Comedy,Drama,Family
952,The Journey,2014,112.0,"Adventure,Drama,Mystery",7.9,155000.0,0.0,155000.0,Adventure,Drama,Mystery
955,The Journey,2017,82.0,"Drama,Thriller",6.3,155000.0,0.0,155000.0,Drama,Thriller,
951,The Journey,2010,105.0,Family,6.4,155000.0,0.0,155000.0,Family,,
1381,The Judge,2017,76.0,Documentary,7.3,47100000.0,37300000.0,84400000.0,Documentary,,
1380,The Judge,2014,141.0,"Crime,Drama",7.4,47100000.0,37300000.0,84400000.0,Crime,Drama,
266,The Karate Kid,2010,140.0,"Action,Drama,Family",6.2,176600000.0,182500000.0,359100000.0,Action,Drama,Family
1971,The Keeping Room,2014,95.0,"Drama,Western",6.0,27200.0,0.0,27200.0,Drama,Western,
111,The Kids Are All Right,2010,106.0,"Comedy,Drama,Romance",7.0,20800000.0,13900000.0,34700000.0,Comedy,Drama,Romance
143,The Killer Inside Me,2010,109.0,"Crime,Drama,Horror",6.1,217000.0,3800000.0,4017000.0,Crime,Drama,Horror
2956,The King's Case Note,2017,114.0,"Comedy,Mystery",6.5,91000.0,0.0,91000.0,Comedy,Mystery,
2584,The King's Choice,2016,133.0,"Biography,Drama,History",7.2,113000.0,0.0,113000.0,Biography,Drama,History
730,The King's Speech,2010,118.0,"Biography,Drama,History",8.0,135500000.0,275400000.0,410900000.0,Biography,Drama,History
1686,The Kings of Summer,2013,95.0,"Adventure,Comedy,Drama",7.2,1300000.0,0.0,1300000.0,Adventure,Comedy,Drama
1268,The Lady,2014,105.0,Drama,3.0,355000.0,3400000.0,3755000.0,Drama,,
1267,The Lady,2011,132.0,"Biography,Drama,History",7.1,355000.0,3400000.0,3755000.0,Biography,Drama,History
2545,The Lady in the Car with Glasses and a Gun,2015,93.0,"Drama,Mystery,Thriller",5.5,2200.0,0.0,2200.0,Drama,Mystery,Thriller
2416,The Lady in the Van,2015,104.0,"Biography,Comedy,Drama",6.7,10000000.0,31400000.0,41400000.0,Biography,Comedy,Drama
137,The Last Airbender,2010,103.0,"Action,Adventure,Family",4.1,131800000.0,187900000.0,319700000.0,Action,Adventure,Family
827,The Last Circus,2010,107.0,"Comedy,Drama,Horror",6.6,40500.0,3200000.0,3240500.0,Comedy,Drama,Horror
450,The Last Exorcism,2010,87.0,"Drama,Horror,Thriller",5.6,41000000.0,26700000.0,67700000.0,Drama,Horror,Thriller
1555,The Last Exorcism Part II,2013,88.0,"Drama,Horror,Thriller",4.0,15200000.0,0.0,15200000.0,Drama,Horror,Thriller
847,The Last Godfather,2010,100.0,"Comedy,Crime,Romance",3.7,164000.0,16600000.0,16764000.0,Comedy,Crime,Romance
1319,The Last King,2016,99.0,"Action,Adventure,Drama",6.1,8900.0,0.0,8900.0,Action,Adventure,Drama
1318,The Last King,2015,110.0,"Action,Drama,History",4.6,8900.0,0.0,8900.0,Action,Drama,History
2256,The Last Man on the Moon,2014,95.0,"Adventure,Biography,Documentary",7.4,52500.0,0.0,52500.0,Adventure,Biography,Documentary
2875,The Last Princess,2016,127.0,"Action,Biography,Drama",6.8,29300.0,0.0,29300.0,Action,Biography,Drama
864,The Last Sentence,2012,126.0,"Biography,Drama",6.1,62500.0,265000.0,327500.0,Biography,Drama,
417,The Last Song,2010,107.0,"Drama,Music,Romance",6.0,63000000.0,26100000.0,89100000.0,Drama,Music,Romance
784,The Last Stand,2013,107.0,"Action,Thriller",6.4,12100000.0,36300000.0,48400000.0,Action,Thriller,
2029,The Last Station,2011,105.0,Drama,3.8,6600000.0,6900000.0,13500000.0,Drama,,
2030,The Last Station,2012,90.0,Documentary,7.6,6600000.0,6900000.0,13500000.0,Documentary,,
2879,The Last Suit,2017,91.0,Drama,7.1,73500.0,0.0,73500.0,Drama,,
931,The Last Witch Hunter,2015,106.0,"Action,Adventure,Fantasy",6.0,27400000.0,119600000.0,147000000.0,Action,Adventure,Fantasy
2777,The Last Women Standing,2015,96.0,Romance,5.2,163000.0,0.0,163000.0,Romance,,
2733,The Last Word,2017,108.0,"Comedy,Drama",6.6,1800000.0,0.0,1800000.0,Comedy,Drama,
2151,The Lazarus Effect,2015,83.0,"Horror,Mystery,Sci-Fi",5.2,25800000.0,12600000.0,38400000.0,Horror,Mystery,Sci-Fi
767,The Ledge,2011,101.0,"Drama,Romance,Thriller",6.5,9200.0,602000.0,611200.0,Drama,Romance,Thriller
193,The Legend of Hercules,2014,99.0,"Action,Adventure,Fantasy",4.2,18800000.0,42400000.0,61200000.0,Action,Adventure,Fantasy
135,The Legend of Tarzan,2016,110.0,"Action,Adventure,Drama",6.3,126600000.0,230100000.0,356700000.0,Action,Adventure,Drama
2426,The Leisure Seeker,2017,112.0,"Adventure,Comedy,Drama",6.7,3200000.0,0.0,3200000.0,Adventure,Comedy,Drama
2497,The Lesson,2015,97.0,"Drama,Horror,Thriller",4.3,9000.0,0.0,9000.0,Drama,Horror,Thriller
2496,The Lesson,2014,111.0,Drama,7.2,9000.0,0.0,9000.0,Drama,,
1997,The Light Between Oceans,2016,133.0,"Drama,Romance",7.2,12500000.0,13400000.0,25900000.0,Drama,Romance,
290,The Lincoln Lawyer,2011,118.0,"Crime,Drama,Thriller",7.3,58000000.0,17000000.0,75000000.0,Crime,Drama,Thriller
547,The Little Bedroom,2010,87.0,Drama,6.9,7400.0,0.0,7400.0,Drama,,
785,The Little Death,2010,75.0,Drama,6.0,18200.0,0.0,18200.0,Drama,,
786,The Little Death,2014,96.0,"Comedy,Drama,Romance",7.1,18200.0,0.0,18200.0,Comedy,Drama,Romance
169,The Little Prince,2015,105.0,Documentary,7.8,1300000.0,96200000.0,97500000.0,Documentary,,
168,The Little Prince,2015,108.0,"Adventure,Animation,Drama",7.7,1300000.0,96200000.0,97500000.0,Adventure,Animation,Drama
167,The Little Prince,2019,93.0,Action,8.3,1300000.0,96200000.0,97500000.0,Action,,
1350,The Loft,2014,108.0,"Mystery,Romance,Thriller",6.3,6000000.0,4099999.0,10099999.0,Mystery,Romance,Thriller
308,The Lone Ranger,2013,150.0,"Action,Adventure,Western",6.4,89300000.0,171200000.0,260500000.0,Action,Adventure,Western
1098,The Loneliest Planet,2011,113.0,Thriller,5.5,130000.0,0.0,130000.0,Thriller,,
2076,The Longest Ride,2015,123.0,"Drama,Romance",7.1,37400000.0,25500000.0,62900000.0,Drama,Romance,
1461,The Look of Love,2012,46.0,Comedy,8.5,21300.0,0.0,21300.0,Comedy,,
1460,The Look of Love,2013,101.0,"Biography,Comedy,Drama",6.0,21300.0,0.0,21300.0,Biography,Comedy,Drama
2343,The Look of Silence,2014,103.0,"Biography,Documentary,History",8.3,109000.0,0.0,109000.0,Biography,Documentary,History
60,The Losers,2013,112.0,Drama,1.7,23600000.0,5800000.0,29400000.0,Drama,,
59,The Losers,2010,97.0,"Action,Adventure,Crime",6.4,23600000.0,5800000.0,29400000.0,Action,Adventure,Crime
312,The Lost City of Z,2016,141.0,"Adventure,Biography,Drama",6.6,8600000.0,10700000.0,19300000.0,Adventure,Biography,Drama
1736,The Love Punch,2013,94.0,Comedy,5.7,267000.0,4500000.0,4767000.0,Comedy,,
